Player
Awais Zia (Pakistan)
Imran Farhat (Pakistan)
Shan Masood (Pakistan)
Nasir Jamshed (Pakistan)
Sami Aslam (Pakistan)
Fakhar Zaman (Pakistan)
Yasir Hameed (Pakistan)
Rameez Raja (2) (Pakistan)
Rafatullah Mohmand (Pakistan)
Adnan Raees (Pakistan)
Umar Amin (Pakistan)
Faisal Iqbal (Pakistan)
Iftikhar Ahmed  (Pakistan)
Babar Azam (Pakistan)
Shahid Yousuf (Pakistan)
Hammad Azam (Pakistan)
Bilal Asif (Pakistan)
Aamer Yamin (Pakistan)
Kamran Ghulam (Pakistan)
Mohammad Nawaz (3) (Pakistan)
Yasim Murtaza (Pakistan)
Mohammad Sami (Pakistan)
Imran Khan Jr (Pakistan)
Imran Khan (1) (Pakistan)
Ziaul Haq (Pakistan)
Mohammad Talha (Pakistan)
Sohail Khan (Pakistan)
Adnan Akmal (Pakistan)
Mohammad Salman (Pakistan)
Osama Mir (Pakistan)
Zafar Gohar (Pakistan)
Abdur Rehman (Pakistan)
Ronsford Beaton (West Indies)
NE Bonner (West Indies)
Kyle Mayers (West Indies)
John Campbell (West Indies)
Boomer Collins (USA)
Zohaib Khan (Pakistan)
Asad Ali (Pakistan)
Samiullah Niazi (Pakistan)
N Pooran (West Indies)
Timroy Allen (USA)
Azeem Rafiq (England)
MD Bates (New Zealand)
Tarun Nethula (New Zealand)
Khalid Usman (Pakistan)
Aizaz Cheema (Pakistan)
Saad Nasim (Pakistan)
Imran Ali (Pakistan)
Imran Khalid (Pakistan)
Taufiq Umer (Pakistan)
Ahmed Bahshir
Naveed Malik
Fazal Subhan
Israullah
Mohammad Akhlaq
Imran Butt
Abid Ali
Imamul Haq
Ahsan Ali
Usman Salahuddin
Saad Ali
Umer Waheed
Mohammad Waqas
Naveed Yasin
Faisal Mubashir
Ali Asad
Asif Ali
Usman Saeed
Ali Waqas
Adil Amin
Zahid Mansoor
Asif Babar
Musaddiq Ali
Ammad Butt
Zohaib Ahmed
Tariq Haroon
Kashif Bhatti
Husain Talat
Faheem Ashraf
Faraz Ahmed
Taj Wali
Tabish Khan
Mir Hamza
Azizullah
Ahmed Jamal
Hasan Ali
Ruman Raees
Abdul Ameer
Shehzad Azam Rana
Bismillah Khan
Naeem Anjum
Mohammad Hasan
Gohar Faiz
Owais Rehmani
Saifullah Bangash
Umer Siddiq
Jawaid Mansoor
Mohammad Asghar
Adnan Rasool
Junaid Ilyas
Zeeshan Malik
Hayatullah
Shahzaib Ahmed Khan
Majid Ali
Wajid Ali
Akbar ur rehman
Asif Zakir
Sheh a ryar Ghani
Zahid Mahmood
